,event_accum_times,event_durs,event_names,event_types
0,1.729,1729.0,NaN0,instructions0
1,3.609,1880.0,NaN1,instructions1
2,5.352,1743.0,NaN2,instructions2
3,6.633,1281.0,NaN3,instructions3
4,7.414,781.0,NaN4,instructions4
5,8.222,808.0,NaN5,instructions5
6,9.957,1735.0,NaN6,instructions6
7,16.468,6511.0,NaN7,instructions7
8,47.108,30640.0,NaN8,instructions8
9,59.307,12199.0,NaN9,instructions9
10,697.408,638101.0,NaN10,instructions10
11,708.128,10720.0,NaN11,instructions11
12,716.537,8409.0,NaN12,instructions12
13,729.298,12761.0,NaN13,instructions13
14,738.653,9355.0,NaN14,instructions14
15,760.413,21760.0,NaN15,instructions15
16,763.837,3424.0,NaN16,instructions16
17,771.588,7751.0,NaN17,instructions17
18,787.464,15876.0,NaN18,instructions18
19,791.527,4063.0,NaN19,instructions19
20,792.084,-0.001,NaN,single-stim
21,816.659,23.57,choosing_resp,alt-choice-gagne
22,853.27,35.604,choosing_resp,alt-choice-gagne
23,863.127,8.853,choosing_resp,alt-choice-gagne
24,869.964,5.83,choosing_resp,alt-choice-gagne
25,886.65,15.678,choosing_resp,alt-choice-gagne
26,892.978,5.323,choosing_resp,alt-choice-gagne
27,902.806,8.821,choosing_resp,alt-choice-gagne
28,913.55,9.738,choosing_resp,alt-choice-gagne
29,922.176,7.621,choosing_resp,alt-choice-gagne
30,928.874,5.694,choosing_resp,alt-choice-gagne
31,940.827,10.949,choosing_resp,alt-choice-gagne
32,946.833,4.998,choosing_resp,alt-choice-gagne
33,953.702,5.866,choosing_resp,alt-choice-gagne
34,959.299,4.591,choosing_resp,alt-choice-gagne
35,962.861,2.556,choosing_resp,alt-choice-gagne
36,972.75,8.883,choosing_resp,alt-choice-gagne
37,978.754,4.996,choosing_resp,alt-choice-gagne
38,985.916,6.156,choosing_resp,alt-choice-gagne
39,992.842,5.921,choosing_resp,alt-choice-gagne
40,998.427,4.582,choosing_resp,alt-choice-gagne
41,1005.373,5.94,choosing_resp,alt-choice-gagne
42,1012.715,6.339,choosing_resp,alt-choice-gagne
43,1016.936,3.218,choosing_resp,alt-choice-gagne
44,1025.617,7.677,choosing_resp,alt-choice-gagne
45,1035.308,8.687,choosing_resp,alt-choice-gagne
46,1041.281,4.967,choosing_resp,alt-choice-gagne
47,1043.77,2489.0,instruction_traits0,instructions0
48,1060.93,15.947,NaN,survey-likert
49,1077.342,16412.0,instruction_traits0,instructions0
50,1104.307,26965.0,survey_stai_state_instr0,instructions0
51,1144.069,38.28,survey_stai_state,survey-multi-choice
52,1145.581,1512.0,survey_stai_trait_instr0,instructions0
53,1196.426,49.583,survey_stai_trait,survey-multi-choice
54,1203.925,7499.0,survey_cesd_instr0,instructions0
55,1257.485,52.304,survey_cesd,survey-multi-choice
56,1259.732,2247.0,survey_masq_instr0,instructions0
57,1363.662,102.594,survey_masq0,survey-multi-choice
58,1466.284,101.495,survey_masq1,survey-multi-choice
59,1477.511,10.221,venmo,survey-text
