,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4465,2305,"[23284, 23573]",23573
1,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3705,4291,"[34720, 35109, 35606]",35606
2,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4085,3221,"[1399, 8857]",8857
3,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5955,4504,"[3455, 5832]",5832
4,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5933,611,"[7529, 10169, 15108, 15680]",15680
5,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5354,4657,"[1491, 5324]",5324
6,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2472,5253,"[4194, 8823]",8823
7,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4203,5371,"[2890, 9740]",9740
8,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4299,4574,"[6921, 7623]",7623
9,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4142,4374,"[3025, 5696]",5696
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,8243,3737,"[9236, 10951]",10951
11,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1284,660,"[4606, 5002]",5002
12,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2199,5921,"[1420, 5868]",5868
13,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,478,2850,"[1090, 4593]",4593
14,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5387,5554,"[1195, 2560]",2560
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,1881,4300,"[813, 8886]",8886
16,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5408,2012,"[2231, 4999]",4999
17,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5845,5931,"[1147, 6158]",6158
18,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1746,765,"[3556, 3842, 5924]",5924
19,"[u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3980,3827,"[2226, 3931, 4585]",4585
20,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,219,5331,"[3901, 4569, 5942]",5942
21,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5463,5310,"[3555, 6340]",6340
22,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4719,5524,"[2732, 3221]",3221
23,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5237,5376,"[665, 2279, 4585, 7679]",7679
24,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2478,5699,"[1043, 8689]",8689
25,"[u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,1183,5404,"[3312, 4374, 4970]",4970
