,event_accum_times,event_durs,event_names,event_types
0,4.107,4107.0,NaN0,instructions0
1,5.291,1184.0,NaN1,instructions1
2,6.317,1026.0,NaN2,instructions2
3,9.882,3565.0,NaN3,instructions3
4,10.877,995.0,NaN4,instructions4
5,11.97,1093.0,NaN5,instructions5
6,12.781,811.0,NaN6,instructions6
7,15.881,3100.0,NaN7,instructions7
8,19.212,3331.0,NaN8,instructions8
9,21.185,1973.0,NaN9,instructions9
10,22.468,1283.0,NaN10,instructions10
11,23.49,1022.0,NaN11,instructions11
12,24.478,988.0,NaN12,instructions12
13,26.829,2351.0,NaN13,instructions13
14,27.585,756.0,NaN14,instructions14
15,28.275,690.0,NaN15,instructions15
16,29.014,739.0,NaN16,instructions16
17,30.834,1820.0,NaN17,instructions17
18,33.157,2323.0,NaN18,instructions18
19,34.197,1040.0,NaN19,instructions19
20,34.755,-0.001,NaN,single-stim
21,44.746,8.984,choosing_resp,alt-choice-gagne
22,252.956,207.2,choosing_resp,alt-choice-gagne
23,293.353,39.391,choosing_resp,alt-choice-gagne
24,324.779,30.42,choosing_resp,alt-choice-gagne
25,345.876,20.089,choosing_resp,alt-choice-gagne
26,376.229,29.344,choosing_resp,alt-choice-gagne
27,425.128,47.893,choosing_resp,alt-choice-gagne
28,455.672,29.537,choosing_resp,alt-choice-gagne
29,479.725,23.047,choosing_resp,alt-choice-gagne
30,492.214,11.484,choosing_resp,alt-choice-gagne
31,502.736,9.517,choosing_resp,alt-choice-gagne
32,521.202,17.46,choosing_resp,alt-choice-gagne
33,536.147,13.94,choosing_resp,alt-choice-gagne
34,541.464,4.31,choosing_resp,alt-choice-gagne
35,564.58,22.11,choosing_resp,alt-choice-gagne
36,588.024,22.437,choosing_resp,alt-choice-gagne
37,625.359,36.329,choosing_resp,alt-choice-gagne
38,633.293,6.929,choosing_resp,alt-choice-gagne
39,640.315,6.015,choosing_resp,alt-choice-gagne
40,660.253,18.933,choosing_resp,alt-choice-gagne
41,679.56,18.301,choosing_resp,alt-choice-gagne
42,690.204,9.635,choosing_resp,alt-choice-gagne
43,733.238,42.028,choosing_resp,alt-choice-gagne
44,739.453,5.207,choosing_resp,alt-choice-gagne
45,771.63,31.167,choosing_resp,alt-choice-gagne
46,790.555,17.919,choosing_resp,alt-choice-gagne
47,792.953,2398.0,instruction_traits0,instructions0
48,816.64,22.462,NaN,survey-likert
49,823.157,6517.0,instruction_traits0,instructions0
50,830.18,7023.0,survey_stai_state_instr0,instructions0
51,864.68,33.007,survey_stai_state,survey-multi-choice
52,867.691,3011.0,survey_stai_trait_instr0,instructions0
53,911.153,42.18,survey_stai_trait,survey-multi-choice
54,912.893,1740.0,survey_cesd_instr0,instructions0
55,974.311,60.139,survey_cesd,survey-multi-choice
56,979.194,4883.0,survey_masq_instr0,instructions0
57,1066.169,85.597,survey_masq0,survey-multi-choice
58,1158.743,91.397,survey_masq1,survey-multi-choice
59,1165.354,5.603,venmo,survey-text
