,event_accum_times,event_durs,event_names,event_types
0,6.479,6479.0,instructions_backstory0,instructions0
1,67.066,60587.0,instructions_backstory1,instructions1
2,84.858,17792.0,instructions_backstory2,instructions2
3,88.186,3328.0,instructions_backstory3,instructions3
4,89.882,1696.0,instructions_backstory4,instructions4
5,90.986,1104.0,instructions_backstory5,instructions5
6,91.818,832.0,instructions_backstory6,instructions6
7,92.954,1136.0,instructions_backstory7,instructions7
8,106.602,13648.0,instructions_backstory8,instructions8
9,111.347,4745.0,instructions_backstory9,instructions9
10,121.756,10409.0,instructions_backstory10,instructions10
11,128.26,6504.0,instructions_backstory11,instructions11
12,134.572,6312.0,instructions_backstory12,instructions12
13,136.803,2231.0,instructions_backstory13,instructions13
14,143.372,6569.0,instructions_backstory14,instructions14
15,146.46,3088.0,instructions_backstory15,instructions15
16,147.34,880.0,instructions_backstory16,instructions16
17,148.412,1072.0,instructions_backstory17,instructions17
18,149.076,664.0,instructions_backstory18,instructions18
19,205.292,55.997,work_style_questions,survey-likert
20,1162.72,956.413,self_describe_page,survey-text
21,1409.508,245.777,sat_grades_entry,survey-text
22,1420.046,10538.0,instruction_traits0,instructions0
23,1422.584,2538.0,survey_DAS_A_instr0,instructions0
24,1743.855,319.635,survey_DAS_A,survey-multi-choice
25,1753.006,9151.0,survey_DAS_A_instr0,instructions0
26,1958.97,204.606,survey_self_worth,survey-multi-choice
27,1960.645,1675.0,survey_DAS_A_instr0,instructions0
28,2046.676,84.757,survey_pswq,survey-multi-choice
29,2054.02,6.34,consent_part1_2,consent
30,2068.74,13.718,consent_part1_2b,consent
31,2087.692,17.942,venmo,survey-text
