,event_accum_times,event_durs,event_names,event_types
0,1.167,1167.0,NaN0,instructions0
1,2.771,1604.0,NaN1,instructions1
2,5.677,2906.0,NaN2,instructions2
3,7.001,1324.0,NaN3,instructions3
4,8.272,1271.0,NaN4,instructions4
5,9.14,868.0,NaN5,instructions5
6,11.536,2396.0,NaN6,instructions6
7,14.725,3189.0,NaN7,instructions7
8,17.991,3266.0,NaN8,instructions8
9,20.344,2353.0,NaN9,instructions9
10,24.346,4002.0,NaN10,instructions10
11,26.046,1700.0,NaN11,instructions11
12,27.414,1368.0,NaN12,instructions12
13,29.399,1985.0,NaN13,instructions13
14,30.925,1526.0,NaN14,instructions14
15,32.574,1649.0,NaN15,instructions15
16,33.954,1380.0,NaN16,instructions16
17,35.677,1723.0,NaN17,instructions17
18,45.1,9423.0,NaN18,instructions18
19,48.523,3423.0,NaN19,instructions19
20,53.66,5137.0,NaN18,instructions18
21,55.124,1464.0,NaN19,instructions19
22,55.681,-0.001,NaN,single-stim
23,91.165,34.476,choosing_resp,alt-choice-gagne
24,109.701,17.531,choosing_resp,alt-choice-gagne
25,132.725,22.019,choosing_resp,alt-choice-gagne
26,155.531,21.801,choosing_resp,alt-choice-gagne
27,165.947,9.412,choosing_resp,alt-choice-gagne
28,184.644,17.69,choosing_resp,alt-choice-gagne
29,200.701,15.05,choosing_resp,alt-choice-gagne
30,213.284,11.577,choosing_resp,alt-choice-gagne
31,225.492,11.201,choosing_resp,alt-choice-gagne
32,246.435,19.937,choosing_resp,alt-choice-gagne
33,259.38,11.938,choosing_resp,alt-choice-gagne
34,273.932,13.549,choosing_resp,alt-choice-gagne
35,303.493,28.555,choosing_resp,alt-choice-gagne
36,317.333,12.834,choosing_resp,alt-choice-gagne
37,331.837,13.498,choosing_resp,alt-choice-gagne
38,349.164,16.323,choosing_resp,alt-choice-gagne
39,359.829,9.657,choosing_resp,alt-choice-gagne
40,367.18,6.345,choosing_resp,alt-choice-gagne
41,383.748,15.565,choosing_resp,alt-choice-gagne
42,393.668,8.916,choosing_resp,alt-choice-gagne
43,405.204,10.53,choosing_resp,alt-choice-gagne
44,423.236,17.028,choosing_resp,alt-choice-gagne
45,430.557,6.315,choosing_resp,alt-choice-gagne
46,436.437,4.873,choosing_resp,alt-choice-gagne
47,441.949,4.506,choosing_resp,alt-choice-gagne
48,452.604,9.651,choosing_resp,alt-choice-gagne
49,455.309,2705.0,instruction_traits0,instructions0
50,476.858,20.333,NaN,survey-likert
51,482.642,5784.0,instruction_traits0,instructions0
52,484.299,1657.0,survey_stai_state_instr0,instructions0
53,534.269,48.435,survey_stai_state,survey-multi-choice
54,536.492,2223.0,survey_stai_trait_instr0,instructions0
55,586.939,49.126,survey_stai_trait,survey-multi-choice
56,588.129,1190.0,survey_cesd_instr0,instructions0
57,638.104,48.649,survey_cesd,survey-multi-choice
58,639.476,1372.0,survey_masq_instr0,instructions0
59,745.3,104.317,survey_masq0,survey-multi-choice
60,870.502,123.941,survey_masq1,survey-multi-choice
61,875.549,4.042,venmo,survey-text
