,event_accum_times,event_durs,event_names,event_types
0,8.374,8374.0,NaN0,instructions0
1,11.487,3113.0,NaN1,instructions1
2,14.638,3151.0,NaN2,instructions2
3,16.067,1429.0,NaN3,instructions3
4,17.465,1398.0,NaN4,instructions4
5,36.649,19184.0,NaN5,instructions5
6,38.554,1905.0,NaN6,instructions6
7,41.724,3170.0,NaN7,instructions7
8,46.209,4485.0,NaN8,instructions8
9,55.453,9244.0,NaN9,instructions9
10,63.288,7835.0,NaN10,instructions10
11,67.198,3910.0,NaN11,instructions11
12,74.656,7458.0,NaN12,instructions12
13,83.05,8394.0,NaN13,instructions13
14,86.766,3716.0,NaN14,instructions14
15,98.832,12066.0,NaN15,instructions15
16,101.612,2780.0,NaN16,instructions16
17,111.192,9580.0,NaN17,instructions17
18,132.946,21754.0,NaN18,instructions18
19,136.179,3233.0,NaN19,instructions19
20,136.736,-0.001,NaN,single-stim
21,146.985,9.242,choosing_resp,alt-choice-gagne
22,166.76,18.771,choosing_resp,alt-choice-gagne
23,210.527,42.763,choosing_resp,alt-choice-gagne
24,221.996,10.466,choosing_resp,alt-choice-gagne
25,233.742,10.744,choosing_resp,alt-choice-gagne
26,247.048,12.299,choosing_resp,alt-choice-gagne
27,264.847,16.795,choosing_resp,alt-choice-gagne
28,286.342,20.493,choosing_resp,alt-choice-gagne
29,292.775,5.431,choosing_resp,alt-choice-gagne
30,303.574,9.793,choosing_resp,alt-choice-gagne
31,322.148,17.569,choosing_resp,alt-choice-gagne
32,360.36,37.208,choosing_resp,alt-choice-gagne
33,377.207,15.844,choosing_resp,alt-choice-gagne
34,404.527,26.315,choosing_resp,alt-choice-gagne
35,422.918,17.388,choosing_resp,alt-choice-gagne
36,434.553,10.632,choosing_resp,alt-choice-gagne
37,477.722,42.167,choosing_resp,alt-choice-gagne
38,488.349,9.624,choosing_resp,alt-choice-gagne
39,511.262,21.908,choosing_resp,alt-choice-gagne
40,527.815,15.549,choosing_resp,alt-choice-gagne
41,552.902,24.086,choosing_resp,alt-choice-gagne
42,581.065,27.159,choosing_resp,alt-choice-gagne
43,590.16,8.091,choosing_resp,alt-choice-gagne
44,612.375,21.211,choosing_resp,alt-choice-gagne
45,628.423,15.043,choosing_resp,alt-choice-gagne
46,645.691,16.265,choosing_resp,alt-choice-gagne
47,649.012,3321.0,instruction_traits0,instructions0
48,668.21,17.985,NaN,survey-likert
49,676.818,8608.0,instruction_traits0,instructions0
50,682.324,5506.0,survey_stai_state_instr0,instructions0
51,727.721,43.893,survey_stai_state,survey-multi-choice
52,861.587,133866.0,survey_stai_trait_instr0,instructions0
53,910.849,47.967,survey_stai_trait,survey-multi-choice
54,951.739,40890.0,survey_cesd_instr0,instructions0
55,1009.557,56.488,survey_cesd,survey-multi-choice
56,1012.591,3034.0,survey_masq_instr0,instructions0
57,1137.635,123.585,survey_masq0,survey-multi-choice
58,1255.106,116.204,survey_masq1,survey-multi-choice
59,1262.916,6.805,venmo,survey-text
