,event_accum_times,event_durs,event_names,event_types
0,1.365,1365.0,NaN0,instructions0
1,4.087,2722.0,NaN1,instructions1
2,52.407,48320.0,NaN2,instructions2
3,54.749,2342.0,NaN3,instructions3
4,56.235,1486.0,NaN4,instructions4
5,59.27,3035.0,NaN5,instructions5
6,60.867,1597.0,NaN6,instructions6
7,65.829,4962.0,NaN7,instructions7
8,68.979,3150.0,NaN8,instructions8
9,74.897,5918.0,NaN9,instructions9
10,76.28,1383.0,NaN10,instructions10
11,81.14,4860.0,NaN11,instructions11
12,101.458,20318.0,NaN12,instructions12
13,121.035,19577.0,NaN13,instructions13
14,125.59,4555.0,NaN14,instructions14
15,137.211,11621.0,NaN15,instructions15
16,140.991,3780.0,NaN16,instructions16
17,151.959,10968.0,NaN17,instructions17
18,182.311,30352.0,NaN18,instructions18
19,186.205,3894.0,NaN19,instructions19
20,186.766,-0.001,NaN,single-stim
21,208.839,21.069,choosing_resp,alt-choice-gagne
22,223.948,14.103,choosing_resp,alt-choice-gagne
23,262.85,37.895,choosing_resp,alt-choice-gagne
24,273.381,9.528,choosing_resp,alt-choice-gagne
25,322.072,47.686,choosing_resp,alt-choice-gagne
26,341.209,18.132,choosing_resp,alt-choice-gagne
27,356.33,14.116,choosing_resp,alt-choice-gagne
28,378.11,20.777,choosing_resp,alt-choice-gagne
29,391.789,12.677,choosing_resp,alt-choice-gagne
30,412.916,20.122,choosing_resp,alt-choice-gagne
31,427.07,13.148,choosing_resp,alt-choice-gagne
32,443.732,15.654,choosing_resp,alt-choice-gagne
33,456.523,11.788,choosing_resp,alt-choice-gagne
34,482.455,24.927,choosing_resp,alt-choice-gagne
35,497.451,13.994,choosing_resp,alt-choice-gagne
36,505.169,6.713,choosing_resp,alt-choice-gagne
37,512.571,6.398,choosing_resp,alt-choice-gagne
38,526.668,13.09,choosing_resp,alt-choice-gagne
39,535.184,7.509,choosing_resp,alt-choice-gagne
40,555.302,19.114,choosing_resp,alt-choice-gagne
41,570.127,13.821,choosing_resp,alt-choice-gagne
42,581.984,10.849,choosing_resp,alt-choice-gagne
43,595.405,12.419,choosing_resp,alt-choice-gagne
44,601.324,4.912,choosing_resp,alt-choice-gagne
45,615.375,13.043,choosing_resp,alt-choice-gagne
46,631.204,14.826,choosing_resp,alt-choice-gagne
47,633.665,2461.0,instruction_traits0,instructions0
48,658.635,23.759,NaN,survey-likert
49,666.486,7851.0,instruction_traits0,instructions0
50,673.315,6829.0,survey_stai_state_instr0,instructions0
51,716.825,42.045,survey_stai_state,survey-multi-choice
52,724.064,7239.0,survey_stai_trait_instr0,instructions0
53,779.781,54.45,survey_stai_trait,survey-multi-choice
54,780.796,1015.0,survey_cesd_instr0,instructions0
55,858.826,76.769,survey_cesd,survey-multi-choice
56,861.149,2323.0,survey_masq_instr0,instructions0
57,987.171,124.683,survey_masq0,survey-multi-choice
58,1115.04,126.721,survey_masq1,survey-multi-choice
59,1132.221,16.177,venmo,survey-text
