,event_accum_times,event_durs,event_names,event_types
0,16.823,16823.0,instructions_backstory0,instructions0
1,37.886,21063.0,instructions_backstory1,instructions1
2,45.393,7507.0,instructions_backstory2,instructions2
3,48.407,3014.0,instructions_backstory3,instructions3
4,53.619,5212.0,instructions_backstory4,instructions4
5,55.275,1656.0,instructions_backstory5,instructions5
6,57.633,2358.0,instructions_backstory6,instructions6
7,59.026,1393.0,instructions_backstory7,instructions7
8,61.091,2065.0,instructions_backstory8,instructions8
9,62.211,1120.0,instructions_backstory9,instructions9
10,72.687,10476.0,instructions_backstory8,instructions8
11,75.185,2498.0,instructions_backstory9,instructions9
12,87.1,11915.0,instructions_backstory10,instructions10
13,96.961,9861.0,instructions_backstory11,instructions11
14,104.391,7430.0,instructions_backstory12,instructions12
15,108.69,4299.0,instructions_backstory13,instructions13
16,121.75,13060.0,instructions_backstory14,instructions14
17,124.612,2862.0,instructions_backstory15,instructions15
18,130.723,6111.0,instructions_backstory16,instructions16
19,132.664,1941.0,instructions_backstory17,instructions17
20,134.562,1898.0,instructions_backstory18,instructions18
21,165.365,30.593,work_style_questions,survey-likert
22,303.65,137.277,self_describe_page,survey-text
23,528.544,223.887,sat_grades_entry,survey-text
24,531.028,2484.0,instruction_traits0,instructions0
25,531.998,970.0,survey_DAS_A_instr0,instructions0
26,708.871,175.265,survey_DAS_A,survey-multi-choice
27,713.233,4362.0,survey_DAS_A_instr0,instructions0
28,850.535,135.938,survey_self_worth,survey-multi-choice
29,851.713,1178.0,survey_DAS_A_instr0,instructions0
30,894.107,41.143,survey_pswq,survey-multi-choice
31,903.752,8.636,consent_part1_2,consent
32,907.171,2.416,consent_part1_2b,consent
33,913.927,5.751,venmo,survey-text
