,event_accum_times,event_durs,event_names,event_types
0,3.988,3988.0,instructions_backstory0,instructions0
1,48.931,44943.0,instructions_backstory1,instructions1
2,63.591,14660.0,instructions_backstory2,instructions2
3,70.312,6721.0,instructions_backstory3,instructions3
4,74.174,3862.0,instructions_backstory4,instructions4
5,76.925,2751.0,instructions_backstory5,instructions5
6,78.934,2009.0,instructions_backstory6,instructions6
7,81.908,2974.0,instructions_backstory7,instructions7
8,83.656,1748.0,instructions_backstory8,instructions8
9,100.687,17031.0,instructions_backstory7,instructions7
10,116.581,15894.0,instructions_backstory8,instructions8
11,120.979,4398.0,instructions_backstory9,instructions9
12,129.423,8444.0,instructions_backstory10,instructions10
13,158.32,28897.0,instructions_backstory11,instructions11
14,171.089,12769.0,instructions_backstory12,instructions12
15,176.088,4999.0,instructions_backstory13,instructions13
16,183.694,7606.0,instructions_backstory14,instructions14
17,188.384,4690.0,instructions_backstory15,instructions15
18,190.361,1977.0,instructions_backstory16,instructions16
19,192.028,1667.0,instructions_backstory17,instructions17
20,194.141,2113.0,instructions_backstory18,instructions18
21,231.01,36.655,work_style_questions,survey-likert
22,1059.496,827.48,self_describe_page,survey-text
23,1626.383,565.879,sat_grades_entry,survey-text
24,1631.286,4903.0,instruction_traits0,instructions0
25,1635.273,3987.0,survey_DAS_A_instr0,instructions0
26,1874.395,237.536,survey_DAS_A,survey-multi-choice
27,1882.59,8195.0,survey_DAS_A_instr0,instructions0
28,2054.364,170.436,survey_self_worth,survey-multi-choice
29,2057.683,3319.0,survey_DAS_A_instr0,instructions0
30,2115.198,56.265,survey_pswq,survey-multi-choice
31,2152.992,36.791,consent_part1_2,consent
32,2160.722,6.728,consent_part1_2b,consent
33,2165.991,4.265,venmo,survey-text
