,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,333,6510,"[410, 562]",562
1,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4892,7181,"[307, 411]",411
2,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3880,6544,"[232, 328]",328
3,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2980,6770,"[215, 293]",293
4,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2094,6544,"[232, 310]",310
5,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3880,857,"[216, 304]",304
6,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2764,3880,"[228, 316]",316
7,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4892,7181,"[225, 344]",344
8,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4892,333,"[156, 260]",260
9,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3880,6544,"[109, 254]",254
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3880,2094,"[165, 276]",276
11,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4892,2203,"[172, 261]",261
12,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,333,2764,"[271, 373]",373
13,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2094,2980,"[265, 335]",335
14,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2764,6510,"[284, 347]",347
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2980,4892,"[255, 310]",310
16,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2980,6770,"[276, 307]",307
17,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,333,6510,"[210, 259]",259
18,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2094,6544,"[208, 255]",255
19,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,333,2764,"[155, 236]",236
20,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2764,3880,"[230, 287]",287
21,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2764,6510,"[253, 334]",334
22,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2094,2980,"[251, 331]",331
23,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2094,6770,"[341, 435]",435
24,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4892,333,"[245, 349]",349
25,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,333,7181,"[270, 341]",341
