,event_accum_times,event_durs,event_names,event_types
0,12.887,12887.0,NaN0,instructions0
1,55.732,42845.0,NaN1,instructions1
2,69.644,13912.0,NaN2,instructions2
3,127.702,58058.0,NaN3,instructions3
4,140.287,12585.0,NaN4,instructions4
5,151.593,11306.0,NaN5,instructions5
6,152.926,1333.0,NaN6,instructions6
7,166.328,13402.0,NaN7,instructions7
8,186.916,20588.0,NaN8,instructions8
9,236.24,49324.0,NaN9,instructions9
10,336.903,100663.0,NaN10,instructions10
11,348.55,11647.0,NaN11,instructions11
12,351.765,3215.0,NaN12,instructions12
13,395.4,43635.0,NaN13,instructions13
14,397.358,1958.0,NaN14,instructions14
15,465.974,68616.0,NaN15,instructions15
16,467.853,1879.0,NaN16,instructions16
17,482.286,14433.0,NaN17,instructions17
18,551.657,69371.0,NaN18,instructions18
19,553.094,1437.0,NaN17,instructions17
20,587.099,34005.0,NaN18,instructions18
21,589.424,2325.0,NaN19,instructions19
22,589.979,-0.001,NaN,single-stim
23,637.493,46.509,choosing_resp,alt-choice-gagne
24,665.465,26.966,choosing_resp,alt-choice-gagne
25,687.322,20.852,choosing_resp,alt-choice-gagne
26,713.228,24.901,choosing_resp,alt-choice-gagne
27,727.157,12.923,choosing_resp,alt-choice-gagne
28,925.966,197.803,choosing_resp,alt-choice-gagne
29,959.946,32.971,choosing_resp,alt-choice-gagne
30,1011.52,50.568,choosing_resp,alt-choice-gagne
31,1026.99,14.464,choosing_resp,alt-choice-gagne
32,1052.893,24.898,choosing_resp,alt-choice-gagne
33,1081.562,27.663,choosing_resp,alt-choice-gagne
34,1088.747,6.18,choosing_resp,alt-choice-gagne
35,1112.296,22.543,choosing_resp,alt-choice-gagne
36,1130.388,17.086,choosing_resp,alt-choice-gagne
37,1136.478,5.084,choosing_resp,alt-choice-gagne
38,1147.637,10.154,choosing_resp,alt-choice-gagne
39,1180.096,31.454,choosing_resp,alt-choice-gagne
40,1209.378,28.278,choosing_resp,alt-choice-gagne
41,1214.366,3.982,choosing_resp,alt-choice-gagne
42,1221.672,6.301,choosing_resp,alt-choice-gagne
43,1226.488,3.81,choosing_resp,alt-choice-gagne
44,1250.22,22.726,choosing_resp,alt-choice-gagne
45,1254.35,3.126,choosing_resp,alt-choice-gagne
46,1267.166,11.812,choosing_resp,alt-choice-gagne
47,1274.633,6.461,choosing_resp,alt-choice-gagne
48,1290.833,15.195,choosing_resp,alt-choice-gagne
49,1292.754,1921.0,instruction_traits0,instructions0
50,1329.057,35.092,NaN,survey-likert
51,1382.152,53095.0,instruction_traits0,instructions0
52,1430.855,48703.0,survey_stai_state_instr0,instructions0
53,1605.547,173.207,survey_stai_state,survey-multi-choice
54,1609.709,4162.0,survey_stai_trait_instr0,instructions0
55,1751.684,140.704,survey_stai_trait,survey-multi-choice
56,1766.993,15309.0,survey_cesd_instr0,instructions0
57,1987.985,219.728,survey_cesd,survey-multi-choice
58,1989.782,1797.0,survey_masq_instr0,instructions0
59,2411.263,420.118,survey_masq0,survey-multi-choice
60,2631.957,219.542,survey_masq1,survey-multi-choice
61,2636.181,3.221,venmo,survey-text
