,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7106,4892,"[16096, 17092]",17092
1,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4058,2203,"[19501, 20159]",20159
2,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,3894,"[80650, 81917]",81917
3,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6643,545,"[10941, 12369]",12369
4,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2094,329,"[8591, 24520]",24520
5,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7185,5521,"[23951, 31699]",31699
6,"[u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,857,6338,"[3992, 7140, 25650]",25650
7,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6789,6154,"[14128, 16608]",16608
8,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7138,4828,"[17471, 25378]",25378
9,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7183,4436,"[26292, 38822]",38822
10,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5392,7145,"[27433, 34762, 35922, 36460, 36822, 37032, 37522, 37822, 42580]",42580
11,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2084,6771,"[8649, 22661, 28958]",28958
12,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2890,6524,"[7491, 10331, 19661, 27389]",27389
13,"[u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4371,6847,"[1171, 2192, 6101, 7300, 7781, 8222, 8451, 8690, 8901, 9061, 9261, 9626, 11491, 13242, 24059]",24059
14,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,6945,6487,"[8075, 19661]",19661
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6482,3687,"[16470, 18037]",18037
16,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7123,1143,"[21553, 30189]",30189
17,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2651,3693,"[9368, 10039, 11218]",11218
18,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6908,7126,"[970, 1330, 13131, 17692, 18252, 23202, 27380, 32472, 42009, 43749]",43749
19,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,360,7129,"[14753, 19061]",19061
20,"[u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'extra_key_2_pressed', u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6178,6501,"[1011, 1549, 2060, 2510, 3421, 4130, 4430, 4600, 4761, 4910, 5091, 5201, 5351, 5531, 8441, 8821, 9559, 10000, 10310, 10560, 10740, 10940, 11149, 11310, 11479, 11649, 11810, 11959, 12130, 12300, 12479, 12630, 12839, 12969, 13091, 13330, 13451, 13641, 13840, 14209, 14439, 14858, 15400, 16389]",16389
