,event_accum_times,event_durs,event_names,event_types
0,2.386,2386.0,instructions_backstory0,instructions0
1,4.026,1640.0,instructions_backstory1,instructions1
2,7.721,3695.0,instructions_backstory2,instructions2
3,14.704,6983.0,instructions_backstory1,instructions1
4,15.665,961.0,instructions_backstory2,instructions2
5,16.776,1111.0,instructions_backstory3,instructions3
6,19.624,2848.0,instructions_backstory4,instructions4
7,20.984,1360.0,instructions_backstory5,instructions5
8,22.639,1655.0,instructions_backstory6,instructions6
9,23.473,834.0,instructions_backstory7,instructions7
10,24.513,1040.0,instructions_backstory8,instructions8
11,25.274,761.0,instructions_backstory9,instructions9
12,33.307,8033.0,instructions_backstory8,instructions8
13,34.968,1661.0,instructions_backstory9,instructions9
14,50.849,15881.0,instructions_backstory10,instructions10
15,61.549,10700.0,instructions_backstory11,instructions11
16,77.05,15501.0,instructions_backstory12,instructions12
17,83.424,6374.0,instructions_backstory13,instructions13
18,90.679,7255.0,instructions_backstory14,instructions14
19,96.763,6084.0,instructions_backstory15,instructions15
20,100.696,3933.0,instructions_backstory16,instructions16
21,103.376,2680.0,instructions_backstory17,instructions17
22,106.472,3096.0,instructions_backstory18,instructions18
23,138.659,31.968,work_style_questions,survey-likert
24,292.94,153.267,self_describe_page,survey-text
25,446.247,152.296,sat_grades_entry,survey-text
26,448.033,1786.0,instruction_traits0,instructions0
27,449.198,1165.0,survey_DAS_A_instr0,instructions0
28,670.965,220.108,survey_DAS_A,survey-multi-choice
29,673.477,2512.0,survey_DAS_A_instr0,instructions0
30,789.545,114.707,survey_self_worth,survey-multi-choice
31,790.938,1393.0,survey_DAS_A_instr0,instructions0
32,843.268,51.059,survey_pswq,survey-multi-choice
33,851.09,6.82,consent_part1_2,consent
34,857.757,5.665,consent_part1_2b,consent
35,896.995,38.232,venmo,survey-text
