,event_accum_times,event_durs,event_names,event_types
0,2.362,2362.0,NaN0,instructions0
1,6.398,4036.0,NaN1,instructions1
2,9.473,3075.0,NaN2,instructions2
3,11.257,1784.0,NaN3,instructions3
4,12.491,1234.0,NaN4,instructions4
5,21.081,8590.0,NaN5,instructions5
6,23.98,2899.0,NaN6,instructions6
7,32.072,8092.0,NaN7,instructions7
8,40.63,8558.0,NaN8,instructions8
9,46.61,5980.0,NaN9,instructions9
10,57.753,11143.0,NaN10,instructions10
11,60.431,2678.0,NaN11,instructions11
12,66.939,6508.0,NaN12,instructions12
13,76.587,9648.0,NaN13,instructions13
14,78.768,2181.0,NaN14,instructions14
15,94.392,15624.0,NaN15,instructions15
16,96.484,2092.0,NaN16,instructions16
17,117.98,21496.0,NaN17,instructions17
18,171.952,53972.0,NaN18,instructions18
19,175.85,3898.0,NaN19,instructions19
20,176.412,-0.001,NaN,single-stim
21,219.682,42.266,choosing_resp,alt-choice-gagne
22,268.168,47.482,choosing_resp,alt-choice-gagne
23,307.739,38.563,choosing_resp,alt-choice-gagne
24,344.747,36.002,choosing_resp,alt-choice-gagne
25,389.271,43.514,choosing_resp,alt-choice-gagne
26,436.402,46.123,choosing_resp,alt-choice-gagne
27,482.13,44.72,choosing_resp,alt-choice-gagne
28,516.794,33.658,choosing_resp,alt-choice-gagne
29,542.548,24.744,choosing_resp,alt-choice-gagne
30,561.909,18.352,choosing_resp,alt-choice-gagne
31,586.331,23.418,choosing_resp,alt-choice-gagne
32,631.492,44.155,choosing_resp,alt-choice-gagne
33,674.354,41.854,choosing_resp,alt-choice-gagne
34,707.643,32.286,choosing_resp,alt-choice-gagne
35,723.948,15.298,choosing_resp,alt-choice-gagne
36,754.143,29.188,choosing_resp,alt-choice-gagne
37,780.386,25.238,choosing_resp,alt-choice-gagne
38,815.722,34.329,choosing_resp,alt-choice-gagne
39,840.571,23.84,choosing_resp,alt-choice-gagne
40,880.29,38.712,choosing_resp,alt-choice-gagne
41,914.375,33.08,choosing_resp,alt-choice-gagne
42,937.402,22.016,choosing_resp,alt-choice-gagne
43,965.56,27.152,choosing_resp,alt-choice-gagne
44,993.487,26.922,choosing_resp,alt-choice-gagne
45,1034.407,39.914,choosing_resp,alt-choice-gagne
46,1061.933,26.52,choosing_resp,alt-choice-gagne
47,1064.008,2075.0,instruction_traits0,instructions0
48,1085.699,20.467,NaN,survey-likert
49,1089.69,3991.0,instruction_traits0,instructions0
50,1093.442,3752.0,survey_stai_state_instr0,instructions0
51,1125.718,30.772,survey_stai_state,survey-multi-choice
52,1128.55,2832.0,survey_stai_trait_instr0,instructions0
53,1162.93,33.09,survey_stai_trait,survey-multi-choice
54,1164.362,1432.0,survey_cesd_instr0,instructions0
55,1204.328,38.682,survey_cesd,survey-multi-choice
56,1207.159,2831.0,survey_masq_instr0,instructions0
57,1287.226,78.653,survey_masq0,survey-multi-choice
58,1367.964,79.535,survey_masq1,survey-multi-choice
59,1372.832,3.862,venmo,survey-text
