,event_accum_times,event_durs,event_names,event_types
0,1.494,1494.0,NaN0,instructions0
1,2.719,1225.0,NaN1,instructions1
2,4.184,1465.0,NaN2,instructions2
3,5.445,1261.0,NaN3,instructions3
4,6.684,1239.0,NaN4,instructions4
5,17.388,10704.0,NaN5,instructions5
6,19.017,1629.0,NaN6,instructions6
7,26.954,7937.0,NaN7,instructions7
8,36.813,9859.0,NaN8,instructions8
9,40.355,3542.0,NaN9,instructions9
10,42.467,2112.0,NaN10,instructions10
11,45.559,3092.0,NaN11,instructions11
12,48.802,3243.0,NaN12,instructions12
13,62.162,13360.0,NaN13,instructions13
14,64.736,2574.0,NaN14,instructions14
15,76.126,11390.0,NaN15,instructions15
16,77.769,1643.0,NaN16,instructions16
17,89.943,12174.0,NaN17,instructions17
18,119.944,30001.0,NaN18,instructions18
19,122.063,2119.0,NaN19,instructions19
20,122.629,-0.001,NaN,single-stim
21,152.14,28.506,choosing_resp,alt-choice-gagne
22,166.355,13.204,choosing_resp,alt-choice-gagne
23,187.635,20.277,choosing_resp,alt-choice-gagne
24,207.739,19.097,choosing_resp,alt-choice-gagne
25,216.73,7.985,choosing_resp,alt-choice-gagne
26,225.422,7.684,choosing_resp,alt-choice-gagne
27,233.026,6.599,choosing_resp,alt-choice-gagne
28,241.869,7.835,choosing_resp,alt-choice-gagne
29,247.884,5.012,choosing_resp,alt-choice-gagne
30,256.17,7.282,choosing_resp,alt-choice-gagne
31,260.969,3.79,choosing_resp,alt-choice-gagne
32,268.177,6.203,choosing_resp,alt-choice-gagne
33,278.812,9.631,choosing_resp,alt-choice-gagne
34,288.751,8.932,choosing_resp,alt-choice-gagne
35,297.647,7.89,choosing_resp,alt-choice-gagne
36,303.678,5.023,choosing_resp,alt-choice-gagne
37,309.037,4.355,choosing_resp,alt-choice-gagne
38,313.717,3.675,choosing_resp,alt-choice-gagne
39,318.097,3.378,choosing_resp,alt-choice-gagne
40,322.386,3.279,choosing_resp,alt-choice-gagne
41,328.265,4.871,choosing_resp,alt-choice-gagne
42,334.074,4.802,choosing_resp,alt-choice-gagne
43,340.041,4.959,choosing_resp,alt-choice-gagne
44,344.339,3.294,choosing_resp,alt-choice-gagne
45,351.352,6.004,choosing_resp,alt-choice-gagne
46,362.448,10.088,choosing_resp,alt-choice-gagne
47,364.285,1837.0,instruction_traits0,instructions0
48,376.624,11.123,NaN,survey-likert
49,380.414,3790.0,instruction_traits0,instructions0
50,382.795,2381.0,survey_stai_state_instr0,instructions0
51,418.125,33.831,survey_stai_state,survey-multi-choice
52,420.487,2362.0,survey_stai_trait_instr0,instructions0
53,456.933,35.161,survey_stai_trait,survey-multi-choice
54,458.112,1179.0,survey_cesd_instr0,instructions0
55,477.369,17.924,survey_cesd,survey-multi-choice
56,478.95,1581.0,survey_masq_instr0,instructions0
57,549.556,69.197,survey_masq0,survey-multi-choice
58,628.926,78.154,survey_masq1,survey-multi-choice
59,671.755,41.819,venmo,survey-text
