alpha,exp_r,xp,pxp
11.6282284738483,0.14719276549175,0.066687,0.0666870108443085
8.17976713175129,0.103541356098118,0.008146,0.00814607286383688
5.34551494316534,0.0676647461160169,0.000584,0.00058408087517379
18.2064866504374,0.230461856334651,0.671509,0.671508370083556
1.02923359488677,0.0130282733529971,0,8.14938752910629e-08
1.86788011198909,0.0236440520504949,3e-06,3.08149069702993e-06
1.41928830512805,0.0179656747484563,0,8.14938752910629e-08
4.93578721516724,0.0624783191793322,0.000391,0.000391081079641923
2.94441842990962,0.0372711193659446,2.2e-05,2.20814705680427e-05
14.8681224990776,0.188204082266805,0.251184,0.251183815384427
6.16058743896463,0.077982119480565,0.001474,0.00147407993228965
1.06107564485979,0.0134313372767063,0,8.14938752910629e-08
1.35360956081483,0.0171342982381624,0,8.14938752910629e-08
