alpha,exp_r,xp,pxp
18.0721991177402,0.22876201414861,0.326539,0.326538994626011
3.61550193515967,0.0457658472805022,1.5e-05,1.50016557564026e-05
2.55906723638347,0.0323932561567527,4e-06,4.00165599322198e-06
20.4816734150315,0.259261688797867,0.62082,0.620819988290426
1.35326364668951,0.0171299195783483,0,1.65607933810919e-09
3.92386436224734,0.0496691691423713,1.8e-05,1.80016556918155e-05
4.84295355775508,0.0613032095918365,5.9e-05,5.90016548091253e-05
3.14681110021451,0.0398330519014495,3e-06,3.00165601475101e-06
13.2075875886609,0.167184653021025,0.05251,0.0525100005255899
4.6873942800121,0.0593341048102798,3.2e-05,3.20016553904091e-05
1.02452505511285,0.0129686715837069,0,1.65607933810919e-09
1.05334965284845,0.013333539909474,0,1.65607933810919e-09
1.0318090521444,0.0130608740777772,0,1.65607933810919e-09
