,event_accum_times,event_durs,event_names,event_types
0,0.941,941.0,NaN0,instructions0
1,1.65,709.0,NaN1,instructions1
2,2.23,580.0,NaN2,instructions2
3,2.956,726.0,NaN3,instructions3
4,3.752,796.0,NaN4,instructions4
5,4.355,603.0,NaN5,instructions5
6,5.105,750.0,NaN6,instructions6
7,6.878,1773.0,NaN7,instructions7
8,9.174,2296.0,NaN8,instructions8
9,10.864,1690.0,NaN9,instructions9
10,11.631,767.0,NaN10,instructions10
11,12.378,747.0,NaN11,instructions11
12,12.957,579.0,NaN12,instructions12
13,14.433,1476.0,NaN13,instructions13
14,14.939,506.0,NaN14,instructions14
15,15.495,556.0,NaN15,instructions15
16,15.981,486.0,NaN16,instructions16
17,16.518,537.0,NaN17,instructions17
18,17.662,1144.0,NaN18,instructions18
19,18.665,1003.0,NaN19,instructions19
20,19.222,-0.001,NaN,single-stim
21,20.925,0.7,choosing_resp,alt-choice-gagne
22,22.333,0.405,choosing_resp,alt-choice-gagne
23,23.75,0.411,choosing_resp,alt-choice-gagne
24,25.133,0.378,choosing_resp,alt-choice-gagne
25,26.79,0.653,choosing_resp,alt-choice-gagne
26,28.213,0.418,choosing_resp,alt-choice-gagne
27,29.669,0.45,choosing_resp,alt-choice-gagne
28,31.165,0.492,choosing_resp,alt-choice-gagne
29,32.605,0.436,choosing_resp,alt-choice-gagne
30,33.989,0.379,choosing_resp,alt-choice-gagne
31,35.388,0.395,choosing_resp,alt-choice-gagne
32,36.797,0.403,choosing_resp,alt-choice-gagne
33,38.156,0.356,choosing_resp,alt-choice-gagne
34,39.549,0.389,choosing_resp,alt-choice-gagne
35,40.924,0.368,choosing_resp,alt-choice-gagne
36,42.285,0.352,choosing_resp,alt-choice-gagne
37,43.661,0.367,choosing_resp,alt-choice-gagne
38,45.029,0.365,choosing_resp,alt-choice-gagne
39,46.349,0.314,choosing_resp,alt-choice-gagne
40,47.709,0.357,choosing_resp,alt-choice-gagne
41,49.068,0.354,choosing_resp,alt-choice-gagne
42,50.46,0.387,choosing_resp,alt-choice-gagne
43,51.82,0.353,choosing_resp,alt-choice-gagne
44,53.204,0.381,choosing_resp,alt-choice-gagne
45,54.556,0.346,choosing_resp,alt-choice-gagne
46,55.964,0.402,choosing_resp,alt-choice-gagne
47,57.083,1119.0,instruction_traits0,instructions0
48,64.917,6.62,NaN,survey-likert
49,65.764,847.0,instruction_traits0,instructions0
50,66.36,596.0,survey_stai_state_instr0,instructions0
51,86.736,18.904,survey_stai_state,survey-multi-choice
52,87.652,916.0,survey_stai_trait_instr0,instructions0
53,105.545,16.639,survey_stai_trait,survey-multi-choice
54,106.929,1384.0,survey_cesd_instr0,instructions0
55,130.43,22.244,survey_cesd,survey-multi-choice
56,131.451,1021.0,survey_masq_instr0,instructions0
57,174.012,41.218,survey_masq0,survey-multi-choice
58,216.447,41.312,survey_masq1,survey-multi-choice
59,218.31,0.855,venmo,survey-text
