,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6770,3687,"[496, 702]",702
1,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6770,1143,"[288, 407]",407
2,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,6544,"[285, 413]",413
3,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6729,6524,"[277, 380]",380
4,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,7181,"[77, 655]",655
5,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6770,6621,"[299, 418]",418
6,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,6154,"[318, 452]",452
7,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6827,7106,"[343, 494]",494
8,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,6681,"[304, 439]",439
9,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,6482,"[279, 381]",381
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,6154,"[295, 398]",398
11,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,6827,"[302, 405]",405
12,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6827,2203,"[280, 358]",358
13,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,6681,"[287, 391]",391
14,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,6905,"[285, 371]",371
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,6908,"[267, 355]",355
16,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4058,6756,"[284, 371]",371
17,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,6847,"[290, 368]",368
18,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,6621,"[238, 317]",317
19,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4058,857,"[280, 360]",360
20,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6524,3687,"[268, 355]",355
21,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6827,6729,"[301, 388]",388
22,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4058,6847,"[274, 355]",355
23,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,690,"[296, 382]",382
24,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,6908,"[270, 348]",348
25,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6827,5930,"[318, 404]",404
