,event_accum_times,event_durs,event_names,event_types
0,1.284,1284.0,NaN0,instructions0
1,2.929,1645.0,NaN1,instructions1
2,4.211,1282.0,NaN2,instructions2
3,5.43,1219.0,NaN3,instructions3
4,6.264,834.0,NaN4,instructions4
5,7.102,838.0,NaN5,instructions5
6,8.298,1196.0,NaN6,instructions6
7,10.391,2093.0,NaN7,instructions7
8,12.503,2112.0,NaN8,instructions8
9,15.545,3042.0,NaN9,instructions9
10,16.476,931.0,NaN10,instructions10
11,17.506,1030.0,NaN11,instructions11
12,18.145,639.0,NaN12,instructions12
13,19.414,1269.0,NaN13,instructions13
14,19.908,494.0,NaN14,instructions14
15,20.818,910.0,NaN15,instructions15
16,21.894,1076.0,NaN16,instructions16
17,23.676,1782.0,NaN17,instructions17
18,27.064,3388.0,NaN18,instructions18
19,28.922,1858.0,NaN19,instructions19
20,29.479,-0.001,NaN,single-stim
21,50.629,20.143,choosing_resp,alt-choice-gagne
22,61.571,9.939,choosing_resp,alt-choice-gagne
23,74.94,12.362,choosing_resp,alt-choice-gagne
24,87.003,11.059,choosing_resp,alt-choice-gagne
25,92.764,4.758,choosing_resp,alt-choice-gagne
26,112.494,18.725,choosing_resp,alt-choice-gagne
27,118.299,4.801,choosing_resp,alt-choice-gagne
28,125.787,6.484,choosing_resp,alt-choice-gagne
29,131.548,4.758,choosing_resp,alt-choice-gagne
30,135.756,3.204,choosing_resp,alt-choice-gagne
31,141.755,4.995,choosing_resp,alt-choice-gagne
32,151.399,8.639,choosing_resp,alt-choice-gagne
33,166.809,14.405,choosing_resp,alt-choice-gagne
34,178.385,10.57,choosing_resp,alt-choice-gagne
35,197.395,18.005,choosing_resp,alt-choice-gagne
36,204.474,6.075,choosing_resp,alt-choice-gagne
37,209.973,4.493,choosing_resp,alt-choice-gagne
38,215.313,4.338,choosing_resp,alt-choice-gagne
39,231.794,15.479,choosing_resp,alt-choice-gagne
40,241.595,8.794,choosing_resp,alt-choice-gagne
41,249.876,7.276,choosing_resp,alt-choice-gagne
42,256.122,5.238,choosing_resp,alt-choice-gagne
43,266.075,8.951,choosing_resp,alt-choice-gagne
44,274.695,7.615,choosing_resp,alt-choice-gagne
45,281.742,6.041,choosing_resp,alt-choice-gagne
46,289.601,6.856,choosing_resp,alt-choice-gagne
47,290.978,1377.0,instruction_traits0,instructions0
48,299.828,7.634,NaN,survey-likert
49,300.635,807.0,instruction_traits0,instructions0
50,301.586,951.0,survey_stai_state_instr0,instructions0
51,324.456,21.403,survey_stai_state,survey-multi-choice
52,325.67,1214.0,survey_stai_trait_instr0,instructions0
53,343.22,16.293,survey_stai_trait,survey-multi-choice
54,344.312,1092.0,survey_cesd_instr0,instructions0
55,367.656,22.084,survey_cesd,survey-multi-choice
56,368.794,1138.0,survey_masq_instr0,instructions0
57,414.335,44.075,survey_masq0,survey-multi-choice
58,458.026,42.566,survey_masq1,survey-multi-choice
59,461.287,2.255,venmo,survey-text
