,event_accum_times,event_durs,event_names,event_types
0,70.825,70825.0,NaN0,instructions0
1,74.728,3903.0,NaN1,instructions1
2,77.11,2382.0,NaN2,instructions2
3,78.659,1549.0,NaN3,instructions3
4,80.113,1454.0,NaN4,instructions4
5,82.469,2356.0,NaN5,instructions5
6,83.995,1526.0,NaN6,instructions6
7,91.727,7732.0,NaN7,instructions7
8,107.328,15601.0,NaN8,instructions8
9,115.218,7890.0,NaN9,instructions9
10,117.049,1831.0,NaN10,instructions10
11,122.393,5344.0,NaN11,instructions11
12,132.39,9997.0,NaN12,instructions12
13,139.726,7336.0,NaN13,instructions13
14,143.4,3674.0,NaN14,instructions14
15,156.813,13413.0,NaN15,instructions15
16,159.086,2273.0,NaN16,instructions16
17,170.41,11324.0,NaN17,instructions17
18,183.568,13158.0,NaN18,instructions18
19,186.155,2587.0,NaN19,instructions19
20,186.719,-0.001,NaN,single-stim
21,208.872,21.145,choosing_resp,alt-choice-gagne
22,230.827,20.948,choosing_resp,alt-choice-gagne
23,240.241,8.408,choosing_resp,alt-choice-gagne
24,263.888,22.64,choosing_resp,alt-choice-gagne
25,274.189,9.296,choosing_resp,alt-choice-gagne
26,289.571,14.376,choosing_resp,alt-choice-gagne
27,309.562,18.984,choosing_resp,alt-choice-gagne
28,328.109,17.54,choosing_resp,alt-choice-gagne
29,337.999,8.883,choosing_resp,alt-choice-gagne
30,347.753,8.746,choosing_resp,alt-choice-gagne
31,356.84,8.079,choosing_resp,alt-choice-gagne
32,369.253,11.406,choosing_resp,alt-choice-gagne
33,383.682,13.421,choosing_resp,alt-choice-gagne
34,391.246,6.557,choosing_resp,alt-choice-gagne
35,403.763,11.509,choosing_resp,alt-choice-gagne
36,411.291,6.521,choosing_resp,alt-choice-gagne
37,421.577,9.28,choosing_resp,alt-choice-gagne
38,430.158,7.573,choosing_resp,alt-choice-gagne
39,453.136,21.971,choosing_resp,alt-choice-gagne
40,460.988,6.843,choosing_resp,alt-choice-gagne
41,466.099,4.104,choosing_resp,alt-choice-gagne
42,471.432,4.327,choosing_resp,alt-choice-gagne
43,476.784,4.346,choosing_resp,alt-choice-gagne
44,492.98,15.188,choosing_resp,alt-choice-gagne
45,502.142,8.155,choosing_resp,alt-choice-gagne
46,510.695,7.548,choosing_resp,alt-choice-gagne
47,512.736,2041.0,instruction_traits0,instructions0
48,526.288,12.331,NaN,survey-likert
49,530.938,4650.0,instruction_traits0,instructions0
50,533.085,2147.0,survey_stai_state_instr0,instructions0
51,1029.975,495.383,survey_stai_state,survey-multi-choice
52,1032.015,2040.0,survey_stai_trait_instr0,instructions0
53,1075.843,42.532,survey_stai_trait,survey-multi-choice
54,1077.149,1306.0,survey_cesd_instr0,instructions0
55,1136.344,57.901,survey_cesd,survey-multi-choice
56,1140.847,4503.0,survey_masq_instr0,instructions0
57,1275.014,132.752,survey_masq0,survey-multi-choice
58,1358.928,82.671,survey_masq1,survey-multi-choice
59,1365.003,5.066,venmo,survey-text
