,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4058,6681,"[617, 1056]",1056
1,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,7181,"[385, 575]",575
2,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6827,7050,"[263, 406]",406
3,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6827,2203,"[316, 475]",475
4,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,7050,"[292, 429]",429
5,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,6847,"[218, 362]",362
6,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6729,6524,"[213, 587]",587
7,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,6827,"[301, 412]",412
8,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6770,6992,"[336, 447]",447
9,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6770,7106,"[284, 419]",419
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,4058,"[286, 412]",412
11,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,6827,"[285, 419]",419
12,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6338,690,"[287, 413]",413
13,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6756,4149,"[287, 422]",422
14,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6524,329,"[348, 443]",443
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,6544,"[326, 452]",452
16,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,5930,"[319, 525]",525
17,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7181,6154,"[319, 734]",734
18,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6729,329,"[520, 671]",671
19,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,5930,"[463, 606]",606
20,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,6681,"[297, 416]",416
21,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6524,7106,"[291, 410]",410
22,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6524,6770,"[7865, 7886]",7886
23,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4058,6847,"[1503, 1582]",1582
24,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6154,4058,"[787, 840]",840
25,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,6770,6338,"[1946, 2064]",2064
