,event_accum_times,event_durs,event_names,event_types
0,2.801,2801.0,NaN0,instructions0
1,109.709,106908.0,NaN1,instructions1
2,151.066,41357.0,NaN2,instructions2
3,153.143,2077.0,NaN3,instructions3
4,154.322,1179.0,NaN4,instructions4
5,156.363,2041.0,NaN5,instructions5
6,157.457,1094.0,NaN6,instructions6
7,160.969,3512.0,NaN7,instructions7
8,176.731,15762.0,NaN8,instructions8
9,189.138,12407.0,NaN9,instructions9
10,211.048,21910.0,NaN10,instructions10
11,214.214,3166.0,NaN11,instructions11
12,229.672,15458.0,NaN12,instructions12
13,241.738,12066.0,NaN13,instructions13
14,248.527,6789.0,NaN14,instructions14
15,268.274,19747.0,NaN15,instructions15
16,271.748,3474.0,NaN16,instructions16
17,284.553,12805.0,NaN17,instructions17
18,334.305,49752.0,NaN18,instructions18
19,338.524,4219.0,NaN19,instructions19
20,339.081,-0.001,NaN,single-stim
21,425.396,85.31,choosing_resp,alt-choice-gagne
22,534.898,108.498,choosing_resp,alt-choice-gagne
23,593.106,57.204,choosing_resp,alt-choice-gagne
24,630.563,36.453,choosing_resp,alt-choice-gagne
25,658.052,26.484,choosing_resp,alt-choice-gagne
26,709.675,50.617,choosing_resp,alt-choice-gagne
27,736.235,25.551,choosing_resp,alt-choice-gagne
28,779.43,42.19,choosing_resp,alt-choice-gagne
29,800.769,20.332,choosing_resp,alt-choice-gagne
30,832.767,30.992,choosing_resp,alt-choice-gagne
31,854.162,20.392,choosing_resp,alt-choice-gagne
32,893.955,38.79,choosing_resp,alt-choice-gagne
33,923.812,28.854,choosing_resp,alt-choice-gagne
34,951.548,26.729,choosing_resp,alt-choice-gagne
35,977.464,24.913,choosing_resp,alt-choice-gagne
36,998.914,20.444,choosing_resp,alt-choice-gagne
37,1022.411,22.491,choosing_resp,alt-choice-gagne
38,1043.332,19.913,choosing_resp,alt-choice-gagne
39,1092.307,47.968,choosing_resp,alt-choice-gagne
40,1117.714,24.403,choosing_resp,alt-choice-gagne
41,1176.597,57.878,choosing_resp,alt-choice-gagne
42,1198.612,21.01,choosing_resp,alt-choice-gagne
43,1216.167,16.55,choosing_resp,alt-choice-gagne
44,1249.325,32.151,choosing_resp,alt-choice-gagne
45,1270.606,20.276,choosing_resp,alt-choice-gagne
46,1292.73,21.121,choosing_resp,alt-choice-gagne
47,1294.337,1607.0,instruction_traits0,instructions0
48,1318.278,22.727,NaN,survey-likert
49,1337.84,19562.0,instruction_traits0,instructions0
50,1357.142,19302.0,survey_stai_state_instr0,instructions0
51,1425.451,66.821,survey_stai_state,survey-multi-choice
52,1433.377,7926.0,survey_stai_trait_instr0,instructions0
53,1497.597,62.948,survey_stai_trait,survey-multi-choice
54,1502.411,4814.0,survey_cesd_instr0,instructions0
55,1553.171,49.486,survey_cesd,survey-multi-choice
56,1568.811,15640.0,survey_masq_instr0,instructions0
57,1687.96,117.763,survey_masq0,survey-multi-choice
58,1810.76,121.626,survey_masq1,survey-multi-choice
59,1844.673,32.906,venmo,survey-text
