,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,8285,7858,"[28990, 32033]",32033
1,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,949,5278,"[95522, 97448]",97448
2,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7680,8341,"[16737, 44410]",44410
3,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7771,8025,"[55386, 60120]",60120
4,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4093,4196,"[14174, 25720]",25720
5,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7517,7839,"[48120, 50761]",50761
6,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7616,7674,"[19706, 29437]",29437
7,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7749,8398,"[25166, 29318]",29318
8,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7918,8159,"[31086, 32236]",32236
9,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7560,7875,"[35729, 51780]",51780
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,372,7149,"[40955, 51677]",51677
11,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7566,3543,"[25505, 29080]",29080
12,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4873,7761,"[76535, 78427]",78427
13,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7521,5569,"[14791, 18357]",18357
14,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3960,7916,"[31083, 64458]",64458
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3882,6086,"[43466, 45216]",45216
16,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7665,8083,"[7374, 13641]",13641
17,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7696,409,"[19817, 25344]",25344
18,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1386,8185,"[10296, 15285]",15285
19,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,7558,7752,"[20673, 25283]",25283
20,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7668,8161,"[17560, 20565]",20565
21,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,8407,7561,"[11647, 35489]",35489
22,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,7657,1921,"[8429, 15197]",15197
23,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,8395,5229,"[7875, 16816]",16816
24,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5474,7757,"[19520, 20910]",20910
25,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1865,7543,"[12959, 14972]",14972
