,event_accum_times,event_durs,event_names,event_types
0,3.654,3654.0,NaN0,instructions0
1,18.122,14468.0,NaN1,instructions1
2,60.556,42434.0,NaN2,instructions2
3,64.213,3657.0,NaN3,instructions3
4,66.29,2077.0,NaN4,instructions4
5,67.997,1707.0,NaN5,instructions5
6,73.247,5250.0,NaN4,instructions4
7,74.959,1712.0,NaN5,instructions5
8,76.579,1620.0,NaN4,instructions4
9,78.644,2065.0,NaN5,instructions5
10,80.69,2046.0,NaN4,instructions4
11,91.14,10450.0,NaN5,instructions5
12,93.479,2339.0,NaN6,instructions6
13,96.645,3166.0,NaN5,instructions5
14,99.34,2695.0,NaN6,instructions6
15,108.635,9295.0,NaN7,instructions7
16,111.725,3090.0,NaN8,instructions8
17,117.968,6243.0,NaN7,instructions7
18,127.823,9855.0,NaN8,instructions8
19,135.165,7342.0,NaN9,instructions9
20,153.016,17851.0,NaN10,instructions10
21,156.643,3627.0,NaN11,instructions11
22,165.016,8373.0,NaN12,instructions12
23,193.528,28512.0,NaN13,instructions13
24,200.19,6662.0,NaN14,instructions14
25,244.486,44296.0,NaN13,instructions13
26,246.941,2455.0,NaN14,instructions14
27,258.405,11464.0,NaN15,instructions15
28,261.184,2779.0,NaN14,instructions14
29,262.259,1075.0,NaN13,instructions13
30,263.473,1214.0,NaN14,instructions14
31,274.378,10905.0,NaN15,instructions15
32,281.982,7604.0,NaN16,instructions16
33,302.952,20970.0,NaN17,instructions17
34,332.409,29457.0,NaN18,instructions18
35,333.744,1335.0,NaN17,instructions17
36,345.173,11429.0,NaN18,instructions18
37,350.054,4881.0,NaN19,instructions19
38,350.615,-0.001,NaN,single-stim
39,383.651,32.029,choosing_resp,alt-choice-gagne
40,482.104,97.444,choosing_resp,alt-choice-gagne
41,527.517,44.406,choosing_resp,alt-choice-gagne
42,588.638,60.116,choosing_resp,alt-choice-gagne
43,615.361,25.716,choosing_resp,alt-choice-gagne
44,667.125,50.757,choosing_resp,alt-choice-gagne
45,697.567,29.434,choosing_resp,alt-choice-gagne
46,727.887,29.315,choosing_resp,alt-choice-gagne
47,761.127,32.233,choosing_resp,alt-choice-gagne
48,813.909,51.776,choosing_resp,alt-choice-gagne
49,866.588,51.674,choosing_resp,alt-choice-gagne
50,896.671,29.077,choosing_resp,alt-choice-gagne
51,976.103,78.424,choosing_resp,alt-choice-gagne
52,995.462,18.353,choosing_resp,alt-choice-gagne
53,1060.924,64.454,choosing_resp,alt-choice-gagne
54,1107.141,45.212,choosing_resp,alt-choice-gagne
55,1121.784,13.637,choosing_resp,alt-choice-gagne
56,1148.129,25.34,choosing_resp,alt-choice-gagne
57,1164.418,15.281,choosing_resp,alt-choice-gagne
58,1190.707,25.279,choosing_resp,alt-choice-gagne
59,1212.272,20.561,choosing_resp,alt-choice-gagne
60,1248.764,35.485,choosing_resp,alt-choice-gagne
61,1264.963,15.193,choosing_resp,alt-choice-gagne
62,1282.783,16.813,choosing_resp,alt-choice-gagne
63,1304.695,20.906,choosing_resp,alt-choice-gagne
64,1320.67,14.969,choosing_resp,alt-choice-gagne
65,1323.09,2420.0,instruction_traits0,instructions0
66,1394.522,70.207,NaN,survey-likert
67,1396.963,2441.0,instruction_traits0,instructions0
68,1399.186,2223.0,survey_stai_state_instr0,instructions0
69,1449.393,48.649,survey_stai_state,survey-multi-choice
70,1451.267,1874.0,survey_stai_trait_instr0,instructions0
71,1504.365,51.76,survey_stai_trait,survey-multi-choice
72,1506.335,1970.0,survey_cesd_instr0,instructions0
73,1597.99,90.311,survey_cesd,survey-multi-choice
74,1603.645,5655.0,survey_masq_instr0,instructions0
75,1775.557,170.462,survey_masq0,survey-multi-choice
76,1919.712,142.924,survey_masq1,survey-multi-choice
77,1931.366,10.644,venmo,survey-text
