,event_accum_times,event_durs,event_names,event_types
0,3.368,3368.0,NaN0,instructions0
1,31.886,28518.0,NaN1,instructions1
2,80.72,48834.0,NaN2,instructions2
3,85.626,4906.0,NaN3,instructions3
4,87.295,1669.0,NaN4,instructions4
5,116.288,28993.0,NaN5,instructions5
6,119.324,3036.0,NaN6,instructions6
7,133.686,14362.0,NaN7,instructions7
8,142.794,9108.0,NaN8,instructions8
9,497.303,354509.0,NaN9,instructions9
10,526.714,29411.0,NaN10,instructions10
11,530.242,3528.0,NaN11,instructions11
12,545.633,15391.0,NaN12,instructions12
13,563.759,18126.0,NaN13,instructions13
14,571.427,7668.0,NaN14,instructions14
15,591.018,19591.0,NaN15,instructions15
16,596.89,5872.0,NaN16,instructions16
17,611.045,14155.0,NaN17,instructions17
18,653.798,42753.0,NaN18,instructions18
19,657.92,4122.0,NaN19,instructions19
20,658.478,-0.001,NaN,single-stim
21,696.11,36.626,choosing_resp,alt-choice-gagne
22,716.08,18.965,choosing_resp,alt-choice-gagne
23,745.285,28.201,choosing_resp,alt-choice-gagne
24,762.986,16.695,choosing_resp,alt-choice-gagne
25,779.046,15.056,choosing_resp,alt-choice-gagne
26,797.99,17.937,choosing_resp,alt-choice-gagne
27,806.361,7.365,choosing_resp,alt-choice-gagne
28,817.195,9.828,choosing_resp,alt-choice-gagne
29,824.507,6.307,choosing_resp,alt-choice-gagne
30,839.323,13.809,choosing_resp,alt-choice-gagne
31,857.852,17.526,choosing_resp,alt-choice-gagne
32,860.963,2.104,choosing_resp,alt-choice-gagne
33,864.481,2.513,choosing_resp,alt-choice-gagne
34,876.8,11.313,choosing_resp,alt-choice-gagne
35,882.291,4.485,choosing_resp,alt-choice-gagne
36,897.474,14.175,choosing_resp,alt-choice-gagne
37,903.001,4.52,choosing_resp,alt-choice-gagne
38,914.166,10.159,choosing_resp,alt-choice-gagne
39,983.06,67.889,choosing_resp,alt-choice-gagne
40,991.09,7.027,choosing_resp,alt-choice-gagne
41,1012.54,20.444,choosing_resp,alt-choice-gagne
42,1014.944,1.398,choosing_resp,alt-choice-gagne
43,1022.573,6.622,choosing_resp,alt-choice-gagne
44,1037.412,13.832,choosing_resp,alt-choice-gagne
45,1042.959,4.541,choosing_resp,alt-choice-gagne
46,1054.588,10.623,choosing_resp,alt-choice-gagne
47,1055.938,1350.0,instruction_traits0,instructions0
48,1079.519,22.368,NaN,survey-likert
49,1083.833,4314.0,instruction_traits0,instructions0
50,1090.097,6264.0,survey_stai_state_instr0,instructions0
51,1128.367,36.802,survey_stai_state,survey-multi-choice
52,1132.186,3819.0,survey_stai_trait_instr0,instructions0
53,1196.661,63.223,survey_stai_trait,survey-multi-choice
54,1200.759,4098.0,survey_cesd_instr0,instructions0
55,1270.636,68.621,survey_cesd,survey-multi-choice
56,1299.18,28544.0,survey_masq_instr0,instructions0
57,1667.035,366.532,survey_masq0,survey-multi-choice
58,1805.947,137.804,survey_masq1,survey-multi-choice
59,1828.916,21.96,venmo,survey-text
