,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5354,4203,"[58605, 59244]",59244
1,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4504,5931,"[30177, 30748]",30748
2,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,660,5524,"[64083, 67220]",67220
3,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2199,4719,"[407110, 408159]",408159
4,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2305,3980,"[22522, 23665]",23665
5,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2012,219,"[11252, 11492]",11492
6,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5408,1746,"[11127, 11547]",11547
7,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5921,5699,"[13415, 13782]",13782
8,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,478,5331,"[17323, 17599]",17599
9,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,611,3221,"[13581, 14074]",14074
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,210,4142,"[20000, 20184]",20184
11,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4300,5308,"[4708, 5139]",5139
12,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5463,4553,"[32674, 33001]",33001
13,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4374,3049,"[7640, 7827]",7827
14,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5237,4465,"[12481, 12717]",12717
15,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4291,5933,"[8656, 8842]",8842
16,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1881,5404,"[17089, 17365]",17365
17,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3737,4657,"[20196, 20398]",20398
18,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,8116,2472,"[4644, 5140]",5140
19,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5955,4299,"[11575, 11804]",11804
20,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3910,5214,"[24635, 25147]",25147
21,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,2250,399,"[3987, 4111]",4111
22,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5913,4085,"[2591, 2872]",2872
23,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5554,5253,"[4840, 5209]",5209
24,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5387,5845,"[9738, 10150]",10150
25,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5371,765,"[2401, 2923]",2923
