,event_accum_times,event_durs,event_names,event_types
0,1.641,1641.0,NaN0,instructions0
1,2.397,756.0,NaN1,instructions1
2,2.985,588.0,NaN2,instructions2
3,3.816,831.0,NaN3,instructions3
4,5.045,1229.0,NaN4,instructions4
5,5.837,792.0,NaN5,instructions5
6,6.409,572.0,NaN6,instructions6
7,8.372,1963.0,NaN7,instructions7
8,10.967,2595.0,NaN8,instructions8
9,12.675,1708.0,NaN9,instructions9
10,13.403,728.0,NaN10,instructions10
11,14.219,816.0,NaN11,instructions11
12,14.781,562.0,NaN12,instructions12
13,15.459,678.0,NaN13,instructions13
14,16.029,570.0,NaN14,instructions14
15,16.589,560.0,NaN15,instructions15
16,17.071,482.0,NaN16,instructions16
17,17.69,619.0,NaN17,instructions17
18,18.722,1032.0,NaN18,instructions18
19,20.375,1653.0,NaN19,instructions19
20,20.935,-0.001,NaN,single-stim
21,24.796,2.856,choosing_resp,alt-choice-gagne
22,26.26,0.459,choosing_resp,alt-choice-gagne
23,27.708,0.445,choosing_resp,alt-choice-gagne
24,29.228,0.513,choosing_resp,alt-choice-gagne
25,30.692,0.461,choosing_resp,alt-choice-gagne
26,32.164,0.464,choosing_resp,alt-choice-gagne
27,33.547,0.381,choosing_resp,alt-choice-gagne
28,34.908,0.353,choosing_resp,alt-choice-gagne
29,36.397,0.483,choosing_resp,alt-choice-gagne
30,37.659,0.257,choosing_resp,alt-choice-gagne
31,39.067,0.404,choosing_resp,alt-choice-gagne
32,40.339,0.264,choosing_resp,alt-choice-gagne
33,41.819,0.474,choosing_resp,alt-choice-gagne
34,43.067,0.24,choosing_resp,alt-choice-gagne
35,44.499,0.426,choosing_resp,alt-choice-gagne
36,45.852,0.347,choosing_resp,alt-choice-gagne
37,47.339,0.483,choosing_resp,alt-choice-gagne
38,48.788,0.443,choosing_resp,alt-choice-gagne
39,50.196,0.407,choosing_resp,alt-choice-gagne
40,51.54,0.341,choosing_resp,alt-choice-gagne
41,52.955,0.408,choosing_resp,alt-choice-gagne
42,54.388,0.425,choosing_resp,alt-choice-gagne
43,55.771,0.382,choosing_resp,alt-choice-gagne
44,57.163,0.384,choosing_resp,alt-choice-gagne
45,58.539,0.37,choosing_resp,alt-choice-gagne
46,59.907,0.36,choosing_resp,alt-choice-gagne
47,61.242,1335.0,instruction_traits0,instructions0
48,68.396,5.94,NaN,survey-likert
49,69.083,687.0,instruction_traits0,instructions0
50,69.68,597.0,survey_stai_state_instr0,instructions0
51,91.26,20.11,survey_stai_state,survey-multi-choice
52,92.555,1295.0,survey_stai_trait_instr0,instructions0
53,111.856,18.049,survey_stai_trait,survey-multi-choice
54,112.819,963.0,survey_cesd_instr0,instructions0
55,132.318,18.239,survey_cesd,survey-multi-choice
56,133.926,1608.0,survey_masq_instr0,instructions0
57,175.873,40.614,survey_masq0,survey-multi-choice
58,223.739,46.733,survey_masq1,survey-multi-choice
59,226.047,1.301,venmo,survey-text
