,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4892,333,"[2648, 2858]",2858
1,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2980,6681,"[309, 461]",461
2,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2764,3880,"[309, 446]",446
3,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2980,4149,"[378, 515]",515
4,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4892,7185,"[318, 462]",462
5,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,333,7185,"[322, 468]",468
6,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2764,2203,"[262, 382]",382
7,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2094,2980,"[234, 355]",355
8,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2764,3880,"[268, 486]",486
9,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2980,6681,"[106, 259]",259
10,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3880,6621,"[253, 406]",406
11,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,333,2764,"[115, 267]",267
12,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3880,2094,"[330, 476]",476
13,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2094,857,"[107, 244]",244
14,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4892,6681,"[253, 429]",429
15,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2980,4892,"[261, 351]",351
16,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3880,857,"[333, 485]",485
17,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2980,4892,"[340, 445]",445
18,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,333,2203,"[311, 408]",408
19,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3880,6621,"[214, 344]",344
20,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2094,4149,"[276, 411]",411
21,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4892,6681,"[282, 427]",427
22,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2764,6621,"[270, 382]",382
23,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4892,7185,"[267, 387]",387
24,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3880,857,"[277, 373]",373
25,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2764,6621,"[249, 362]",362
