,button_pressed_list,last_button_pressed,pair0,pair1,time_button_pressed_list,time_last_button_pressed
0,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5699,8116,"[4757, 5338]",5338
1,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4142,2250,"[3644, 6070]",6070
2,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5463,5408,"[1409, 1975]",1975
3,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1746,4291,"[11250, 12124]",12124
4,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4203,5933,"[6082, 9360]",9360
5,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5214,4465,"[2463, 7951]",7951
6,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4374,5524,"[41304, 41845]",41845
7,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,4553,1881,"[7729, 8163]",8163
8,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1183,660,"[6317, 7040]",7040
9,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5913,5308,"[4656, 5173]",5173
10,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,5253,4085,"[3359, 6029]",6029
11,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5371,399,"[4739, 5548]",5548
12,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5404,210,"[5851, 6581]",6581
13,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5955,4719,"[3867, 5344]",5344
14,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,1316,2199,"[815, 2726, 3239]",3239
15,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5237,4657,"[5614, 6289]",6289
16,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5845,5554,"[2748, 4265, 7027]",7027
17,"[u'extra_key_1_pressed', u'extra_key_2_pressed', u'key_end_trial_pressed']",2,5331,3049,"[1277, 5969, 6422]",6422
18,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2012,4300,"[9616, 10662]",10662
19,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3980,4504,"[1686, 2878]",2878
20,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,4299,5387,"[1569, 1939]",1939
21,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2478,5354,"[1057, 1733]",1733
22,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,2305,5376,"[2932, 4735]",4735
23,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,765,611,"[1614, 2084]",2084
24,"[u'extra_key_2_pressed', u'key_end_trial_pressed']",2,3705,3827,"[1423, 1937]",1937
25,"[u'extra_key_1_pressed', u'key_end_trial_pressed']",1,3910,8243,"[1556, 2183]",2183
